X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y1,Y2,Y3,Y4,Y5
3038,0,77,906,5,919.4,869.7,765.4,649.9,519.1,7.17,14.8,164.8590022,262.472885,28
3040,0,77,906,5,919.5,869.7,767.5,650.6,519.1,7.31,14.8,156.6837107,266.2527392,28
3042,0,77,906,5,919.6,869.7,767.5,650.6,518,7.44,14.8,149.3362832,268.8053097,29
3044,0,77,906,5,919.6,864.3,767.5,650.6,518,7.48,14.8,140.9023669,269.6005917,29
3046,0,77,906,5,919.4,864.3,767.5,650.5,518,7.47,14.9,128.6031042,269.4013304,29
3048,0,77,906,5,919.5,864.3,767.5,650.5,519.5,7.49,14.8,125.4626203,270.9104367,29
3050,0,77,906,5,919.6,865.8,767.5,650.5,519.5,7.62,14.8,119.955157,273.5426009,29
3052,0,77,906,5,919.7,865.8,767.2,648.7,519.5,7.74,14.8,116.5158371,276.0180995,29
3054,0,77,906,5,919.9,865.8,767.2,648.7,520.7,7.74,14.7,111.9909502,274.8868778,30
3056,0,77,906,5,919.7,870.5,767.2,648.7,520.7,7.65,14.7,110.1123596,273.0337079,30
3058,0,77,906,5,919.4,870.5,766,648.7,520.7,7.43,14.7,107.2218128,268.6072218,30
3060,0,77,906,5,919.4,870.5,766,650.5,520.6,7.27,14.6,105.9723234,265.4770575,29
3062,0,77,906,5,919.7,873.6,766,650.5,520.6,7.28,14.6,107.1428571,265.6705539,29
3064,0,77,906,5,920.2,873.6,763.3,650.5,520.6,7.34,14.6,108.7115666,266.8374817,29
3066,0,77,906,5,920.4,873.6,763.3,651.3,522.6,7.33,14.6,109.7293343,266.6422824,29
3068,0,77,906,5,920.2,880.7,763.3,651.3,522.6,7.23,14.6,108.9324619,264.7058824,29
3070,0,77,906,5,920.4,880.7,766.9,651.3,522.6,7.23,14.6,108.9324619,264.7058824,29
3072,0,77,906,5,920.3,880.7,766.9,651.2,521.9,7.3,14.6,109.4890511,266.0583942,29
3074,0,77,906,5,920.2,885.3,766.9,651.2,521.9,7.34,14.6,109.8096633,266.8374817,29
3076,0,77,906,5,920,885.3,770,651.2,521.9,7.34,14.7,109.8096633,266.8374817,29
3078,0,77,906,5,919.8,885.3,770,651.3,521.7,7.29,14.7,109.4091904,264.7702407,29
3080,0,77,906,5,919.5,878.2,770,651.3,521.7,7.29,14.8,109.4091904,265.8643326,29
3082,0,77,906,5,919.3,878.2,766.9,651.3,521.7,7.33,14.8,109.7293343,266.6422824,29
3084,0,77,906,5,919.3,878.2,766.9,649.9,521.7,7.39,14.8,111.3152094,266.7156503,29
3086,0,77,906,5,919.4,875,766.9,649.9,521.7,7.36,14.8,111.0703812,267.228739,29
3088,0,77,906,5,919.7,875,770,649.9,521.7,7.1,14.8,108.9928058,262.2302158,30
3090,0,77,906,5,919.8,875,770,651,521.7,7.01,14.9,108.2916369,260.5432452,29
3092,0,77,906,5,920.2,871.3,770,651,522.5,6.88,14.9,109.4192635,258.1444759,29
3094,0,77,906,5,920.8,871.3,769.7,651,522.5,6.84,14.9,114.4067797,257.4152542,29
3096,0,77,906,5,920.9,871.3,769.7,651.8,522.5,6.78,15,123.4177215,256.3291139,29
3098,0,77,906,5,921.1,875,769.7,651.8,522.6,6.75,15,125.2631579,255.7894737,29
3100,0,77,906,5,921.2,875,769.7,651.8,522.6,6.74,15,129.3828892,255.6100982,29
3102,0,77,906,5,921.5,875,769.7,650,522.6,6.83,15.1,133.3803811,257.2335921,29
3104,0,77,906,5,921.4,872.5,769.7,650,522.6,7.1,15.1,140.2877698,262.2302158,29
3106,0,77,906,5,921.5,872.5,765.8,650,522.6,7.12,15.1,141.5706052,262.6080692,29
3108,0,77,906,5,921.5,872.5,765.8,650.1,522.6,6.99,15.1,141.3276231,259.1006424,29
3110,0,77,906,5,921.1,872.5,765.8,650.1,522.7,6.89,15.1,140.3260099,257.2643515,29
3112,0,77,906,5,920.8,880.7,770.4,650.1,522.7,6.68,15.2,142.4581006,253.4916201,29
3114,0,77,906,5,920.9,880.7,770.4,651.6,522.7,6.45,15.3,148.4536082,249.4845361,29
3116,0,77,906,5,921.1,880.7,770.4,651.6,523.4,6.3,15.3,152.0408163,246.9387755,29
3118,0,77,906,5,921.5,871.4,767.8,651.6,523.4,6.25,15.4,152.5423729,246.1016949,29
3120,0,77,906,5,921.6,871.4,767.8,650.7,523.4,6.18,15.4,153.8461538,244.9392713,29
3122,0,77,906,5,921.7,871.4,767.8,650.7,522.1,6.21,15.4,155.1724138,245.4361055,29
3124,0,77,906,5,922,871.2,764.3,650.7,522.1,6.41,15.5,154.2152159,249.8286498,29
3126,0,77,906,5,922.2,871.2,764.3,650.5,522.1,6.46,15.5,153.7138927,250.6877579,29
3128,0,77,906,5,922.3,871.2,764.3,650.5,521.2,6.5,15.5,148.9655172,251.3793103,29
3130,0,77,906,5,922.3,869.8,766.3,650.5,521.2,6.44,15.5,143.2005495,250.3434066,29
3132,0,77,906,5,922.6,869.8,766.3,649.7,521.2,6.32,15.7,134.8773842,248.2970027,30
3134,0,77,906,5,922.9,869.8,766.3,649.7,521.1,6.23,15.7,132.0243737,246.7840217,30
3136,0,77,906,5,923,861.6,766.3,649.7,521.1,6.12,15.7,131.0483871,244.9596774,30
3138,0,77,906,5,922.9,861.6,764.3,648.6,521.1,6.08,15.7,130.6970509,244.3029491,30
3140,0,77,906,5,922.5,861.6,764.3,648.6,521.1,6.08,15.7,134.7184987,245.308311,30
